index_name,ticker,region
HSI,0005.HK,HKG
HSI,0388.HK,HKG
HSI,0939.HK,HKG
HSI,1299.HK,HKG
HSI,1398.HK,HKG
HSI,2318.HK,HKG	
HSI,2388.HK,HKG	
HSI,2628.HK,HKG
HSI,3968.HK,HKG	
HSI,3988.HK,HKG
HSI,0002.HK,HKG
HSI,0003.HK,HKG	
HSI,0006.HK,HKG
HSI,0836.HK,HKG
HSI,1038.HK,HKG
HSI,2688.HK,HKG
HSI,0012.HK,HKG
HSI,0016.HK,HKG
HSI,0101.HK,HKG
HSI,0688.HK,HKG
HSI,0823.HK,HKG
HSI,0960.HK,HKG
HSI,1109.HK,HKG
HSI,1113.HK,HKG
HSI,1209.HK,HKG
HSI,1997.HK,HKG
HSI,0001.HK,HKG
HSI,0027.HK,HKG
HSI,0066.HK,HKG
HSI,0175.HK,HKG
HSI,0241.HK,HKG
HSI,0267.HK,HKG
HSI,0285.HK,HKG
HSI,0288.HK,HKG
HSI,0291.HK,HKG
HSI,0300.HK,HKG
HSI,0316.HK,HKG
HSI,0322.HK,HKG
HSI,0386.HK,HKG
HSI,0669.HK,HKG
HSI,0700.HK,HKG
HSI,0728.HK,HKG
HSI,0762.HK,HKG
HSI,0857.HK,HKG
HSI,0868.HK,HKG
HSI,0881.HK,HKG
HSI,0883.HK,HKG
HSI,0941.HK,HKG
HSI,0968.HK,HKG
HSI,0981.HK,HKG
HSI,0992.HK,HKG
HSI,1024.HK,HKG
HSI,1044.HK,HKG
HSI,1088.HK,HKG
HSI,1093.HK,HKG
HSI,1099.HK,HKG
HSI,1177.HK,HKG
HSI,1211.HK,HKG
HSI,1378.HK,HKG
HSI,1801.HK,HKG
HSI,1810.HK,HKG
HSI,1876.HK,HKG
HSI,1928.HK,HKG
HSI,1929.HK,HKG
HSI,2015.HK,HKG
HSI,2020.HK,HKG
HSI,2057.HK,HKG
HSI,2269.HK,HKG
HSI,2313.HK,HKG
HSI,2319.HK,HKG
HSI,2331.HK,HKG
HSI,2359.HK,HKG
HSI,2382.HK,HKG
HSI,2618.HK,HKG
HSI,2899.HK,HKG
HSI,3690.HK,HKG
HSI,3692.HK,HKG
HSI,6618.HK,HKG
HSI,6690.HK,HKG
HSI,6862.HK,HKG
HSI,9618.HK,HKG
HSI,9633.HK,HKG
HSI,9888.HK,HKG	
HSI,9901.HK,HKG
HSI,9961.HK,HKG
HSI,9988.HK,HKG
HSI,9992.HK,HKG
HSI,9999.HK,HKG
HSTECH,0020.HK,HKG
HSTECH,0241.HK,HKG
HSTECH,0268.HK,HKG
HSTECH,0285.HK,HKG
HSTECH,0300.HK,HKG
HSTECH,0700.HK,HKG
HSTECH,0780.HK,HKG
HSTECH,0981.HK,HKG
HSTECH,0992.HK,HKG
HSTECH,1024.HK,HKG
HSTECH,1211.HK,HKG
HSTECH,1347.HK,HKG
HSTECH,1698.HK,HKG
HSTECH,1810.HK,HKG
HSTECH,2015.HK,HKG
HSTECH,2382.HK,HKG
HSTECH,3690.HK,HKG
HSTECH,3888.HK,HKG
HSTECH,6618.HK,HKG
HSTECH,6690.HK,HKG
HSTECH,9618.HK,HKG
HSTECH,9626.HK,HKG
HSTECH,9660.HK,HKG
HSTECH,9863.HK,HKG
HSTECH,9866.HK,HKG
HSTECH,9868.HK,HKG
HSTECH,9888.HK,HKG
HSTECH,9961.HK,HKG
HSTECH,9988.HK,HKG
HSTECH,9999.HK,HKG
